,count,mean,std,min,25%,50%,75%,max,miss
HeartRate,20863.0,109.35086037482625,20.819436494844474,57.0,101.0,111.0,123.0,161.0,0.0
Hand_Temperature,20863.0,31.916931289843262,1.7752680097482385,27.5625,30.6875,32.6875,33.1875,33.75,0.0
Hand_3Dacceleration16_X,20863.0,-5.962341767959152,4.938721166892791,-60.0415,-9.173375,-7.127619999999999,-2.97062,16.2962,0.0
Hand_3Dacceleration16_Y,20863.0,3.3725993515927173,3.483642237923402,-26.7478,1.07524,3.1107400000000003,5.504375,78.4813,0.0
Hand_3Dacceleration16_Z,20863.0,4.279867008806473,3.3638881648025682,-31.7476,2.221125,3.96904,7.022600000000001,35.2971,0.0
Hand_3Dgyroscop_X,20863.0,-0.026159421248502117,1.1730076934365623,-18.7707,-0.3833805,-0.00935517,0.24214950000000002,15.9183,0.0
Hand_3Dgyroscop_Y,20863.0,0.014810643716307748,0.7082864408850116,-7.23861,-0.202341,0.00407647,0.262733,5.87899,0.0
Hand_3Dgyroscop_Z,20863.0,-0.006263661992801102,1.041188150734955,-8.50061,-0.2567155,-0.00412133,0.2946265,8.67944,0.0
Hand_3Dmagnetometer_X,20863.0,29.711660862503116,18.388316224519762,-64.1525,16.51285,31.6142,42.929950000000005,99.1314,0.0
Hand_3Dmagnetometer_Y,20863.0,-13.1299216586449,18.982496015687655,-95.1457,-23.80235,-15.4844,1.81249,88.2093,0.0
Hand_3Dmagnetometer_Z,20863.0,-25.867841673790718,19.569276232269072,-110.79700000000001,-40.772999999999996,-23.7417,-11.4437,58.6876,0.0
Chest_Temperature,20863.0,35.120566313569476,0.6487213303621016,32.8125,34.8125,35.25,35.625,36.0625,0.0
Chest_3Dacceleration16_X,20863.0,0.21221464007952057,1.3673040392684417,-8.21911,-0.51846,0.303346,0.8996525000000001,8.48243,0.0
Chest_3Dacceleration16_Y,20863.0,7.880972392848642,3.832403972932567,-6.02465,5.70737,9.102360000000001,9.810835,24.9385,0.0
Chest_3Dacceleration16_Z,20863.0,-1.505210741322398,4.904904266500016,-24.9295,-5.218400000000001,-0.9954799999999999,0.790591,13.1182,0.0
Chest_3Dgyroscop_X,20863.0,0.0031479561521224344,0.314986853118116,-3.31984,-0.0999226,0.0049653,0.114715,2.78698,0.0
Chest_3Dgyroscop_Y,20863.0,0.013445030318865951,0.48309564943614813,-3.6389199999999997,-0.11752199999999999,-0.00517943,0.149017,3.25853,0.0
Chest_3Dgyroscop_Z,20863.0,-0.029120562341795924,0.26097568835504725,-2.34501,-0.116449,-0.0192208,0.06279784999999999,1.84135,0.0
Chest_3Dmagnetometer_X,20863.0,6.103120785638538,16.664251692661548,-38.4609,-5.5068199999999985,2.39454,14.07725,64.048,0.0
Chest_3Dmagnetometer_Y,20863.0,-28.60872941841785,16.129481082898568,-72.6476,-40.06945,-31.2592,-23.7844,33.1034,0.0
Chest_3Dmagnetometer_Z,20863.0,5.862560780365282,20.846723724548024,-39.5512,-10.9831,3.9536300000000004,20.0569,77.2855,0.0
Ankle_Temperature,20863.0,33.58098967070891,0.5051785404042355,32.6875,33.1875,33.5625,33.9375,34.4375,0.0
Ankle_3Dacceleration16_X,20863.0,9.402400740880996,4.4821085348455485,-17.3354,8.758685,9.58046,10.07895,61.4289,0.0
Ankle_3Dacceleration16_Y,20863.0,0.7509626303389663,6.181120940305872,-61.0168,-0.5363260000000001,0.815025,2.3943000000000003,65.5068,0.0
Ankle_3Dacceleration16_Z,20863.0,-1.6349012868185655,2.5874779365907576,-39.3883,-2.753985,-1.53607,-0.42937499999999995,26.1461,0.0
Ankle_3Dgyroscop_X,20863.0,0.013206376774955654,0.9819446475548841,-7.45529,-0.207299,3.61377e-05,0.07175065,9.910960000000001,0.0
Ankle_3Dgyroscop_Y,20863.0,-0.04978362596395609,0.33809444192496646,-3.18487,-0.0990147,-0.0084783,0.0461463,3.0968400000000003,0.0
Ankle_3Dgyroscop_Z,20863.0,-0.0038424245067549983,1.646022669566884,-6.34678,-0.3849225,-0.00354327,0.047768099999999994,6.587110000000001,0.0
Ankle_3Dmagnetometer_X,20863.0,-27.688475553068123,17.572894703138882,-95.3424,-41.38825,-32.2327,-8.824404999999999,48.1451,0.0
Ankle_3Dmagnetometer_Y,20863.0,-3.0951493598731212,18.65088273527767,-73.8647,-15.69055,-4.18749,11.751000000000001,60.0861,0.0
Ankle_3Dmagnetometer_Z,20863.0,15.667172526300721,18.928184184068506,-59.3195,2.64288,20.5694,27.65935,94.2944,0.0
