,ActivityID,HeartRate,Hand_Temperature,Hand_3Dacceleration16_X,Hand_3Dacceleration16_Y,Hand_3Dacceleration16_Z,Hand_3Dgyroscop_X,Hand_3Dgyroscop_Y,Hand_3Dgyroscop_Z,Hand_3Dmagnetometer_X,Hand_3Dmagnetometer_Y,Hand_3Dmagnetometer_Z,Chest_Temperature,Chest_3Dacceleration16_X,Chest_3Dacceleration16_Y,Chest_3Dacceleration16_Z,Chest_3Dgyroscop_X,Chest_3Dgyroscop_Y,Chest_3Dgyroscop_Z,Chest_3Dmagnetometer_X,Chest_3Dmagnetometer_Y,Chest_3Dmagnetometer_Z,Ankle_Temperature,Ankle_3Dacceleration16_X,Ankle_3Dacceleration16_Y,Ankle_3Dacceleration16_Z,Ankle_3Dgyroscop_X,Ankle_3Dgyroscop_Y,Ankle_3Dgyroscop_Z,Ankle_3Dmagnetometer_X,Ankle_3Dmagnetometer_Y,Ankle_3Dmagnetometer_Z
7017,10,100,30.125,-8.79687,2.95301,2.8234,0.0249283,-0.0205066,-0.0736311,43.6499,1.40685,-3.21099,31.375,0.455259,9.91836,-0.794833,0.0296092,-0.00303812,-0.0221633,3.5293300000000003,-31.3145,19.6523,30,9.63368,0.225738,-2.65865,0.00669136,-0.017871099999999997,0.021548,-20.199,-15.296,24.4736
7028,10,100,30.125,-8.983410000000003,2.9172,2.8977,-0.00583414,-0.0403521,0.0138998,43.6499,1.40685,-3.21099,31.375,0.539096,9.76932,-0.521783,0.021897,-0.0394164,-0.0100227,3.66404,-31.7064,19.6555,30,9.52112,-0.039652,-2.61956,0.030163,0.0242255,0.0101885,-20.4642,-14.8969,24.3304
7039,10,100,30.125,-8.94696,2.91658,2.85976,-0.0166939,0.0133045,0.0555988,44.028,1.26231,-3.60458,31.375,0.383306,9.80667,-0.64089,-0.00667375,-0.0093028,-0.0377955,3.79642,-32.0983,19.7996,30,9.55674,0.0366906,-2.69685,0.00574338,0.036105800000000014,-0.0220616,-19.3228,-14.5676,24.334
7050,10,100,30.125,-8.76229,2.87617,2.7472,0.0561515,0.00489707,0.0378956,44.0407,0.888718,-4.52096,31.375,0.426095,9.84524,-0.4853560000000001,0.0170247,-0.0511657,0.000990567,4.1875300000000015,-32.1124,19.5204,30,9.58847,9.10182e-05,-2.88925,-0.029335900000000005,0.00126014,0.0184816,-20.0822,-14.7868,24.4734
7061,10,100,30.125,-8.95391,2.87696,2.66736,0.00284035,0.00534882,-0.0321407,43.4213,0.177826,-3.59677,31.375,0.462568,9.6566,-0.522803,-0.00451113,-0.0102876,0.00397414,3.5293300000000003,-31.3145,19.6523,30,9.59417,0.0364535,-2.69647,0.0309277,0.021733,0.0078039,-20.4744,-14.6402,23.9045
7072,10,100,30.125,-8.87834,3.0657400000000004,2.62936,0.0150606,0.0122395,-0.0626757,43.7787,1.39963,-3.73614,31.375,0.342804,9.76862,-0.718942,-0.019346900000000004,0.023873,-0.0203743,4.3038300000000005,-31.6012,19.8003,30,9.55324,-0.000314333,-2.81243,-0.0371439,0.00102434,-0.026442200000000003,-20.0814,-15.0456,24.0482
7089,10,100,30.125,-8.87352,2.9912,2.78364,0.0107223,-0.0221078,-0.0320885,43.7848,1.02692,-3.86512,31.375,0.460479,9.73138,-0.600526,0.0491801,-0.0116074,-0.00479139,3.0153,-31.6827,19.9328,30,9.40724,0.0756076,-2.69863,0.00311732,-0.0197753,-0.0139275,-19.7002,-15.1946,23.6242
7093,10,100,30.125,-8.78992,3.1819900000000003,2.97668,-0.0152838,-0.0124156,-0.0279373,43.5345,0.916452,-3.47025,31.375,0.38445,9.80693,-0.6021489999999999,-0.0123077,-0.015964,-0.033977,3.39941,-31.6971,20.0766,30,9.63439,0.14948,-2.61958,0.034057,-0.037939,-0.0132287,-20.0775,-14.7858,24.8989
7104,10,100,30.125,-8.792060000000001,3.0678400000000003,2.93855,-0.0241682,-0.0176188,0.00102465,43.7866,0.654803,-3.46917,31.375,0.457347,9.84357,-0.71711,-0.0324958,0.00791019,-0.00527287,3.78856,-31.5822,19.7966,30,9.40884,-0.0389406,-2.62072,0.00771201,-0.00865257,-0.0216885,-20.4763,-14.2522,24.4714
7115,10,100,30.125,-8.91319,3.1046400000000003,2.70569,0.0115484,-0.0259958,0.00790548,43.6476,1.65508,-3.34372,31.375,0.53855,9.99498,-0.561248,-0.00335999,-0.00170084,-0.0123046,3.78317,-31.8405,20.3621,30,9.40715,-0.152525,-2.65862,0.0122375,-0.0274336,-0.015550799999999997,-19.9592,-14.7942,24.0484
7126,10,100,30.125,-8.881269999999997,2.83777,2.5916,0.054633900000000006,0.0137273,0.0256269,43.9087,0.896389,-3.60212,31.375,0.453716,9.76748,-0.833092,-0.0459976,-0.037322,-0.0006007999999999999,3.79212,-31.9693,19.9399,30,9.55353,0.265787,-2.85266,-0.00442893,-0.017672200000000002,0.00419036,-20.4654,-14.7677,24.472
7137,10,100,30.125,-8.91773,2.83839,2.62954,-0.0317145,0.0110749,-0.0148596,43.2813,1.17825,-3.34009,31.375,0.574078,9.88138,-0.637677,-0.0506602,-0.0165205,-0.0138708,3.51338,-31.1858,20.4975,30,9.74458,-0.0407534,-2.65585,0.0126116,-0.0189317,0.0184027,-19.5763,-14.9429,23.7662
7148,10,100,30.125,-8.800880000000003,2.95201,2.70788,0.0476613,-0.0133,0.0204853,43.4006,1.54417,-3.34255,31.375,0.452573,9.76722,-0.871833,-0.0237059,0.0477833,-0.0264113,3.91738,-31.5869,19.7976,30,9.48268,0.189039,-2.69856,0.030578700000000007,-0.0156285,0.00824035,-20.4533,-15.4124,24.331
7159,10,100,30.125,-9.02094,2.95543,2.89701,-0.00157312,0.00148054,-0.018118,42.9105,0.949939,-3.20672,31.375,0.499092,9.91953,-0.600438,-0.036711699999999986,0.00364112,-0.033097,3.14521,-31.3002,19.5086,30,9.55635,-0.0392466,-2.69638,-0.036977800000000005,-0.0215738,-0.0124744,-20.0826,-14.9164,24.1899
7170,10,100,30.125,-8.95552,2.83868,2.6289700000000003,-0.0248141,-0.019302,0.0310434,43.5345,0.916452,-3.47025,31.375,0.309464,9.84508,-0.5649109999999999,-0.0330351,0.0211218,-0.00926938,3.78303,-31.0659,19.6527,30,9.55844,0.150275,-2.65895,0.0422818,0.0049469,-0.00335197,-19.4346,-15.4641,24.051
7181,10,100,30.125,-8.83787,2.87675,2.74607,-0.0322959,0.00274324,0.0166166,43.7939,0.0340196,-3.33419,31.375,0.422664,9.84446,-0.601579,-0.0260829,0.0120196,-0.00513117,3.80145,-31.9691,19.3759,30,9.56114,0.0354057,-2.54244,0.0140127,-0.0265218,-0.00135827,-20.5869,-15.2779,24.0467
7192,10,100,30.125,-8.9925,2.76343,2.66716,-0.0356616,-0.014711000000000004,-0.00738757,43.6695,0.0406579,-3.3339800000000004,31.375,0.386737,9.80745,-0.524667,0.0480901,0.00932504,-0.0232751,2.63977,-31.9264,19.5086,30,9.67692,0.07169919999999999,-2.42571,0.0473184,0.0284156,0.00397102,-20.4592,-15.2842,24.0472
